domain_len,sld_len,subdomain_len,label_count,max_label_len,avg_label_len,total_label_ratio,per_label_ratio,digit_ratio,upper_ratio,hyphen_ratio,alpha_ratio,sld_digit_ratio,sld_alpha_ratio,entropy_full,entropy_sld,entropy_subdomain,bigram_entropy_sld,trigram_entropy_sld,bigram_entropy_full,consonant_vowel_ratio,longest_consonant_run,has_meaningful_word,unique_char_ratio,is_common_tld,is_suspicious_tld,tld_len,has_subdomain,subdomain_count,has_digits,numeric_percentage
24.0,20.0,0.0,2.0,20.0,11.5,0.09486166007905138,0.31746031746031744,0.0,0.0,0.04347826086767486,0.9565217390888469,0.0,0.9499999999525,3.44726249944121,3.246439344671016,0.0,4.247927513443585,4.169925001442312,4.459431618637297,1.7142857140408163,2.0,0.0,0.5499999999725,1.0,0.0,3.0,0.0,0.0,0.0,0.0
14.0,11.0,0.0,2.0,11.0,6.5,0.05533596837944664,0.1746031746031746,0.07692307691715976,0.0,0.07692307691715976,0.8461538460887574,0.09090909090082644,0.8181818181074381,3.334679141051595,3.2776134368191157,0.0,3.3219280948873626,3.169925001442312,3.584962500721156,0.79999999984,1.0,0.0,0.9090909090082645,1.0,0.0,2.0,0.0,0.0,1.0,0.07142857142346938
19.0,16.0,0.0,2.0,16.0,9.0,0.07509881422924901,0.25396825396825395,0.0,0.0,0.0,0.9999999999444444,0.0,0.9999999999375,3.4613201402110083,3.202819531114783,0.0,3.640223928941852,3.807354922057604,3.85216872360328,1.2857142855306123,4.0,0.0,0.6249999999609375,1.0,0.0,2.0,0.0,0.0,0.0,0.0
7.0,4.0,0.0,2.0,4.0,3.0,0.02766798418972332,0.06349206349206349,0.16666666663888888,0.0,0.0,0.8333333331944445,0.2499999999375,0.7499999998125,2.584962500721156,2.0,0.0,1.584962500721156,1.0,2.321928094887362,1.9999999979999998,1.0,0.0,0.99999999975,1.0,0.0,2.0,0.0,0.0,1.0,0.1428571428367347
11.0,8.0,0.0,2.0,8.0,5.0,0.043478260869565216,0.12698412698412698,0.0,0.0,0.0,0.9999999999,0.0,0.999999999875,2.9219280948873623,2.5,0.0,2.8073549220576037,2.584962500721156,3.169925001442312,0.99999999975,1.0,0.0,0.74999999990625,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.0,3.0,8.0,3.0,8.0,4.333333333333333,0.05928853754940711,0.12698412698412698,0.0,0.0,0.15384615383431952,0.8461538460887574,0.0,0.9999999996666666,3.3927474104487847,1.584962500721156,2.75,1.0,-0.0,3.584962500721156,1.9999999979999998,1.0,0.0,0.9999999996666666,1.0,0.0,2.0,1.0,1.0,0.0,0.0
24.0,2.0,18.0,3.0,18.0,7.333333333333333,0.09486166007905138,0.2857142857142857,0.0,0.0,0.0,0.9999999999545455,0.0,0.9999999995,3.6069367321753214,1.0,3.4193819456463714,-0.0,0.0,4.297079327540665,0.9999999989999999,1.0,0.0,0.9999999995,1.0,0.0,2.0,1.0,1.0,0.0,0.0
8.0,5.0,0.0,2.0,5.0,3.5,0.03162055335968379,0.07936507936507936,0.7142857141836735,0.0,0.0,0.2857142856734694,0.9999999998,0.0,2.521640636343318,1.9219280948873623,0.0,2.0,1.584962500721156,2.584962500721156,0.0,0.0,0.0,0.79999999984,1.0,0.0,2.0,0.0,0.0,1.0,0.624999999921875
11.0,7.0,0.0,2.0,7.0,5.0,0.043478260869565216,0.1111111111111111,0.0,0.0,0.0,0.9999999999,0.0,0.9999999998571428,2.721928094887362,2.2359263506290326,0.0,2.584962500721156,2.321928094887362,3.169925001442312,2.49999999875,2.0,0.0,0.7142857141836735,1.0,0.0,3.0,0.0,0.0,0.0,0.0
25.0,3.0,18.0,3.0,18.0,7.666666666666667,0.09881422924901186,0.2857142857142857,0.0,0.0,0.0,0.9999999999565218,0.0,0.9999999996666666,3.203365087509175,1.584962500721156,3.1279868068776753,1.0,-0.0,4.277613436819116,1.9999999979999998,1.0,0.0,0.9999999996666666,1.0,0.0,2.0,1.0,1.0,0.0,0.0
13.0,9.0,0.0,2.0,9.0,6.0,0.05138339920948617,0.14285714285714285,0.0,0.0,0.0,0.9999999999166667,0.0,0.9999999998888889,3.4182958340544896,3.169925001442312,0.0,3.0,2.8073549220576037,3.4594316186372973,1.9999999993333333,2.0,0.0,0.9999999998888889,1.0,0.0,3.0,0.0,0.0,0.0,0.0
14.0,10.0,0.0,2.0,10.0,6.5,0.05533596837944664,0.15873015873015872,0.0,0.0,0.0,0.9999999999230769,0.0,0.9999999999,3.180832987205441,2.9219280948873623,0.0,3.169925001442312,3.0,3.584962500721156,0.9999999998,1.0,0.0,0.79999999992,1.0,0.0,3.0,0.0,0.0,0.0,0.0
